239,0.1
839,0.3
1239,0.5
1435,0.6
1597,0.7
1767,0.8
1947,0.9
2037,0.94
2327,1
2660,0.94
2760,0.9
3060,0.8
3380,0.7
3790,0.6
4340,0.5
6640,0.3
21640,0.1
