-0.3	-0.3	1.035
-0.2	-0.3	1.029
-0.1	-0.3	1.027
0	-0.3	1.023
0.1	-0.3	1.024
0.2	-0.3	1.024
0.3	-0.3	1.032

-0.3	-0.2	1.031
-0.2	-0.2	1.029
-0.1	-0.2	1.029
0	-0.2	1.026
0.1	-0.2	1.026
0.2	-0.2	1.024
0.3	-0.2	1.031

-0.3	-0.1	1.028
-0.2	-0.1	1.028
-0.1	-0.1	1.029
0	-0.1	1.026
0.1	-0.1	1.026
0.2	-0.1	1.024
0.3	-0.1	1.029

-0.3	0	1.025
-0.2	0	1.026
-0.1	0	1.029
0	0	1.026
0.1	0	1.026
0.2	0	1.024
0.3	0	1.029

-0.3	0.1	1.027
-0.2	0.1	1.027
-0.1	0.1	1.029
0	0.1	1.026
0.1	0.1	1.027
0.2	0.1	1.024
0.3	0.1	1.026

-0.3	0.2	1.029
-0.2	0.2	1.027
-0.1	0.2	1.029
0	0.2	1.026
0.1	0.2	1.027
0.2	0.2	1.024
0.3	0.2	1.028

-0.3	0.3	1.033
-0.2	0.3	1.026
-0.1	0.3	1.026
0	0.3	1.023
0.1	0.3	1.025
0.2	0.3	1.024
0.3	0.3	1.035
